,castTotalLikes,directorLikes,actor1likes,movieLikes,fbPosters,year,duration,genre,contentRating,criticReviews,userReviews,userVotes,rating
49,1766,0.0,979.0,22000,1.0,2013.0,114.0,Adventure,PG-13,338.0,205.0,106416,6.3
50,29770,1000.0,29000.0,115000,4.0,2013.0,143.0,Drama,PG-13,490.0,753.0,362912,7.3
51,16149,179.0,15000.0,23000,2.0,2010.0,116.0,Action,PG-13,306.0,453.0,222403,6.6
52,19166,0.0,16000.0,83000,0.0,2013.0,131.0,Action,PG-13,575.0,1106.0,381148,7.0
53,2593,0.0,894.0,46000,2.0,2011.0,154.0,Action,PG-13,428.0,899.0,326180,6.3
54,14959,14000.0,11000.0,5000,2.0,2008.0,122.0,Action,PG-13,470.0,2054.0,333847,6.2
55,696,113.0,275.0,20000,0.0,2015.0,93.0,Adventure,PG,298.0,345.0,62836,6.8
56,5005,56.0,2000.0,39000,0.0,2012.0,93.0,Adventure,PG,488.0,428.0,273556,7.2
57,1327,681.0,998.0,30000,4.0,2016.0,122.0,Action,PG-13,322.0,432.0,53607,7.5
58,2975,475.0,1000.0,16000,0.0,2008.0,98.0,Adventure,G,421.0,1043.0,718837,8.4
59,1125,420.0,268.0,0,2.0,2007.0,91.0,Action,PG-13,162.0,221.0,121084,6.2
60,2144,776.0,1000.0,13000,0.0,2009.0,158.0,Action,PG-13,367.0,1055.0,283418,5.8
61,48878,0.0,18000.0,0,0.0,2009.0,96.0,Animation,PG,240.0,249.0,72809,6.8
62,47334,0.0,17000.0,44000,1.0,2015.0,127.0,Action,PG-13,384.0,720.0,139593,5.4
63,21175,282.0,11000.0,29000,2.0,2016.0,110.0,Action,PG-13,248.0,239.0,42372,6.6
64,1317,80.0,1000.0,0,5.0,2005.0,150.0,Adventure,PG,284.0,1463.0,286506,6.9
65,49684,0.0,34000.0,54000,6.0,2016.0,144.0,Action,PG-13,396.0,622.0,148379,7.3
66,57802,22000.0,23000.0,37000,0.0,2008.0,152.0,Action,PG-13,645.0,4667.0,1676169,9.0
67,2635,0.0,1000.0,27000,1.0,2009.0,96.0,Adventure,PG,408.0,704.0,665575,8.3
68,2579,11.0,1000.0,0,2.0,2009.0,94.0,Action,PG,219.0,187.0,114553,6.5
69,39252,4000.0,21000.0,10000,3.0,2008.0,126.0,Action,PG-13,486.0,1055.0,696338,7.9
70,36017,17000.0,17000.0,42000,0.0,2011.0,126.0,Adventure,PG,682.0,678.0,245333,7.5
71,15870,188.0,10000.0,0,2.0,1999.0,106.0,Action,PG-13,85.0,648.0,129601,4.8
72,9131,357.0,5000.0,0,2.0,2008.0,112.0,Action,PG-13,264.0,501.0,117927,5.2
73,11287,452.0,10000.0,80000,8.0,2016.0,123.0,Action,PG-13,418.0,971.0,118992,6.9
74,108016,293.0,87000.0,2000,0.0,2007.0,96.0,Comedy,PG,186.0,257.0,115099,5.4
75,12652,218.0,10000.0,77000,1.0,2014.0,113.0,Action,PG-13,585.0,741.0,431620,7.9
76,1004,58.0,711.0,0,0.0,1995.0,176.0,Action,PG-13,91.0,309.0,144337,6.1
77,26683,208.0,23000.0,0,4.0,2009.0,118.0,Action,PG-13,250.0,534.0,174578,5.8
78,2944,0.0,1000.0,118000,1.0,2015.0,95.0,Adventure,PG,536.0,773.0,345198,8.3
79,32921,4000.0,19000.0,65000,0.0,2016.0,106.0,Adventure,PG,370.0,398.0,106072,7.8
80,48638,4000.0,21000.0,18000,4.0,2010.0,124.0,Action,PG-13,453.0,723.0,522371,7.0
81,72881,274.0,26000.0,53000,0.0,2012.0,132.0,Action,PG-13,416.0,710.0,228554,6.1
82,15516,171.0,11000.0,89000,2.0,2014.0,97.0,Action,PG,401.0,634.0,252257,7.0
83,14363,198.0,10000.0,45000,0.0,2014.0,130.0,Action,PG-13,521.0,620.0,317542,7.6
84,1982,596.0,622.0,677,3.0,2015.0,109.0,Action,R,10.0,15.0,2138,4.5
85,20965,47.0,18000.0,35000,2.0,2013.0,128.0,Action,PG-13,218.0,324.0,116994,6.3
86,36188,94.0,19000.0,55000,1.0,2014.0,136.0,Action,PG-13,576.0,742.0,496749,7.8
87,4628,31.0,4000.0,0,2.0,2010.0,93.0,Adventure,PG,226.0,173.0,138661,6.4
88,5046,663.0,2000.0,37000,2.0,2015.0,130.0,Action,PG,443.0,497.0,128306,6.5
89,2963,38.0,756.0,41000,0.0,2014.0,102.0,Action,PG,384.0,433.0,279093,7.9
90,4451,66.0,975.0,40000,1.0,2012.0,101.0,Adventure,PG,377.0,345.0,272534,7.8
91,16264,0.0,15000.0,10000,0.0,2004.0,100.0,Adventure,G,188.0,444.0,120798,6.6
92,3233,776.0,890.0,67000,0.0,2016.0,120.0,Action,PG-13,286.0,520.0,58137,5.5
93,20453,255.0,18000.0,33000,0.0,2010.0,98.0,Adventure,PG,288.0,492.0,485430,8.2
94,1769,84.0,648.0,0,0.0,2003.0,109.0,Action,R,280.0,1676.0,305340,6.4
95,32438,571.0,14000.0,96000,3.0,2014.0,121.0,Action,PG-13,653.0,1097.0,682155,8.1
96,31488,22000.0,11000.0,349000,1.0,2014.0,169.0,Adventure,PG-13,712.0,2725.0,928227,8.6
97,81115,22000.0,29000.0,175000,0.0,2010.0,148.0,Action,PG-13,642.0,2803.0,1468200,8.8
100,45327,357.0,23000.0,14000,2.0,2001.0,106.0,Action,PG-13,187.0,988.0,272223,6.7
101,13333,21000.0,11000.0,23000,2.0,2008.0,166.0,Drama,PG-13,362.0,822.0,459346,7.8
102,50983,905.0,34000.0,54000,3.0,2011.0,132.0,Action,PG-13,500.0,698.0,518537,7.8
103,81385,508.0,34000.0,38000,1.0,2015.0,137.0,Adventure,PG-13,389.0,383.0,166137,6.6
104,13388,226.0,12000.0,11000,0.0,2010.0,109.0,Action,PG,235.0,238.0,124185,6.1
105,92456,249.0,87000.0,0,0.0,2006.0,98.0,Action,PG-13,231.0,629.0,82380,5.6
106,80806,33.0,40000.0,30000,1.0,2016.0,113.0,Adventure,PG,218.0,131.0,21352,6.4
107,4705,50.0,3000.0,0,2.0,2007.0,93.0,Adventure,PG,227.0,326.0,211971,6.1
108,5505,0.0,3000.0,89000,0.0,2016.0,123.0,Action,PG-13,275.0,781.0,111609,7.3
109,38873,230.0,24000.0,82000,2.0,2015.0,126.0,Action,PG-13,474.0,867.0,188457,6.6
110,764,150.0,531.0,11000,4.0,2010.0,113.0,Adventure,PG,228.0,227.0,106446,6.3
111,5401,0.0,3000.0,0,0.0,2001.0,184.0,Action,PG-13,191.0,1999.0,254111,6.1
112,2333,0.0,662.0,8000,0.0,2007.0,144.0,Action,PG-13,396.0,1782.0,513158,7.1
113,24598,0.0,12000.0,0,3.0,2004.0,206.0,Action,R,248.0,1390.0,138863,5.5
114,33433,282.0,21000.0,0,3.0,2007.0,138.0,Adventure,PG-13,329.0,1108.0,355137,7.5
115,53413,179.0,21000.0,0,1.0,2005.0,157.0,Adventure,PG-13,295.0,1896.0,385670,7.6
116,21584,532.0,10000.0,0,0.0,2008.0,102.0,Action,PG-13,318.0,590.0,343648,6.4
117,13076,508.0,10000.0,11000,0.0,2007.0,104.0,Drama,PG-13,323.0,1413.0,530870,7.2
118,57844,13000.0,40000.0,0,3.0,2005.0,115.0,Adventure,PG,276.0,1361.0,320284,6.7
119,4764,663.0,1000.0,10000,0.0,2007.0,111.0,Animation,G,318.0,626.0,473887,8.0
120,59558,22000.0,23000.0,15000,0.0,2005.0,128.0,Action,PG-13,478.0,2685.0,980946,8.3
121,3285,35.0,1000.0,0,0.0,2008.0,89.0,Action,PG,167.0,119.0,146019,6.7
122,54039,189.0,49000.0,2000,2.0,2009.0,105.0,Adventure,PG,185.0,209.0,130272,5.9
123,40054,151.0,20000.0,0,0.0,2009.0,119.0,Action,PG-13,350.0,641.0,361924,6.7
124,1062,0.0,309.0,0,0.0,2003.0,129.0,Action,R,245.0,2121.0,364948,6.7
125,2582,69.0,1000.0,58000,0.0,2013.0,102.0,Adventure,PG,406.0,904.0,421658,7.6
126,534,0.0,234.0,0,0.0,2003.0,138.0,Action,R,275.0,2789.0,421818,7.2
127,59803,230.0,26000.0,63000,3.0,2013.0,112.0,Action,PG-13,486.0,532.0,414070,7.1
128,40025,750.0,27000.0,191000,0.0,2015.0,120.0,Action,R,739.0,1588.0,552503,8.1
129,16948,2000.0,15000.0,0,2.0,2009.0,146.0,Mystery,PG-13,298.0,435.0,207839,6.7
130,60059,0.0,26000.0,63000,1.0,2011.0,115.0,Action,PG-13,516.0,738.0,536314,7.0
131,20007,59.0,17000.0,0,0.0,2008.0,96.0,Adventure,PG,225.0,178.0,146766,6.9
132,2217,12.0,730.0,0,0.0,2009.0,88.0,Action,PG,145.0,90.0,33042,5.1
133,16184,473.0,14000.0,19000,0.0,2012.0,99.0,Action,PG-13,310.0,253.0,152826,5.8
134,80849,13000.0,40000.0,82000,7.0,2012.0,113.0,Comedy,PG-13,526.0,479.0,199039,6.2
135,21840,188.0,10000.0,47000,0.0,2015.0,131.0,Action,PG-13,465.0,440.0,232187,7.4
136,13071,394.0,12000.0,0,0.0,2010.0,119.0,Drama,R,357.0,432.0,89442,5.8
137,21175,282.0,11000.0,29000,2.0,2016.0,110.0,Action,PG-13,248.0,239.0,42372,6.6
138,6576,58.0,2000.0,0,0.0,2007.0,91.0,Adventure,PG,194.0,206.0,105902,6.2
139,21015,90.0,11000.0,20000,0.0,2011.0,90.0,Action,PG,284.0,209.0,182718,7.3
140,2857,0.0,1000.0,18000,0.0,2010.0,103.0,Action,PG,280.0,1382.0,118951,4.2
141,34817,14000.0,22000.0,0,0.0,2006.0,124.0,Action,PG-13,310.0,871.0,256695,6.9
142,18204,776.0,17000.0,33000,2.0,2013.0,131.0,Action,PG-13,339.0,434.0,164238,6.4
143,2652,25.0,921.0,0,0.0,2011.0,88.0,Action,PG,132.0,112.0,17590,5.4
144,35161,42.0,20000.0,0,0.0,2006.0,85.0,Adventure,PG,135.0,122.0,85086,6.7
145,21393,456.0,20000.0,24000,4.0,2015.0,111.0,Adventure,PG,256.0,186.0,39956,5.8
146,5810,50.0,3000.0,11000,2.0,2014.0,92.0,Adventure,PG,196.0,130.0,47900,6.9
147,17944,249.0,11000.0,0,2.0,2004.0,196.0,Adventure,R,220.0,1694.0,381672,7.2
148,2444,35.0,851.0,17000,0.0,2012.0,93.0,Adventure,PG,211.0,154.0,119213,6.9
149,2538,93.0,769.0,0,0.0,2002.0,133.0,Action,PG-13,264.0,1185.0,169914,6.1
150,2097,176.0,783.0,62000,4.0,2016.0,116.0,Action,PG-13,464.0,1211.0,69757,5.5
151,26029,0.0,13000.0,11000,0.0,1998.0,153.0,Action,PG-13,167.0,1171.0,322395,6.6
152,14823,188.0,10000.0,2000,2.0,2002.0,88.0,Action,PG-13,208.0,606.0,270207,6.1
153,31523,0.0,18000.0,3000,1.0,2007.0,115.0,Action,PG-13,287.0,505.0,142440,6.3
154,36095,5.0,24000.0,24000,0.0,2016.0,95.0,Action,PG,210.0,145.0,64322,7.2
155,21768,663.0,10000.0,35000,3.0,2011.0,133.0,Action,PG-13,432.0,512.0,365104,7.4
156,20645,52.0,20000.0,25000,0.0,2012.0,97.0,Adventure,PG,256.0,174.0,123553,7.3
157,1997,23.0,957.0,2000,1.0,2005.0,90.0,Comedy,PG-13,135.0,258.0,110788,6.1
158,11945,380.0,10000.0,0,1.0,2003.0,154.0,Action,R,190.0,928.0,317166,7.7
159,26490,0.0,23000.0,51000,0.0,2014.0,150.0,Action,PG-13,314.0,657.0,128682,6.1
160,39284,14000.0,26000.0,19000,0.0,2009.0,127.0,Action,PG-13,518.0,1559.0,504419,8.0
161,40484,0.0,24000.0,5000,0.0,2002.0,121.0,Action,PG-13,291.0,2012.0,544665,7.3
162,23378,255.0,18000.0,46000,5.0,2014.0,102.0,Action,PG,292.0,343.0,221128,7.9
163,19769,295.0,18000.0,24000,4.0,2016.0,126.0,Action,PG-13,184.0,273.0,51892,5.5
164,2705,357.0,820.0,0,0.0,2005.0,121.0,Action,PG-13,145.0,388.0,45455,5.0
165,2530,0.0,986.0,18000,1.0,2009.0,215.0,Action,R,451.0,1229.0,392474,7.7
166,6171,503.0,5000.0,0,2.0,1998.0,127.0,Action,R,141.0,287.0,127497,6.6
167,1814,0.0,820.0,0,0.0,2003.0,138.0,Action,PG-13,267.0,1445.0,212106,5.7
168,31958,209.0,17000.0,42000,6.0,2013.0,122.0,Action,PG-13,351.0,288.0,146352,5.8
169,13073,42.0,11000.0,0,3.0,2005.0,124.0,Action,PG-13,163.0,463.0,77673,6.0
170,15015,6.0,12000.0,0,1.0,2001.0,106.0,Action,PG-13,166.0,788.0,72259,6.4
171,19761,394.0,11000.0,46000,0.0,2011.0,124.0,Action,PG-13,510.0,679.0,508818,6.9
172,2037,150.0,766.0,2000,2.0,1999.0,128.0,Action,PG-13,197.0,683.0,157519,6.4
173,1205,608.0,613.0,0,1.0,2003.0,138.0,Action,PG-13,244.0,684.0,168207,7.4
174,59177,386.0,21000.0,65000,3.0,2012.0,115.0,Adventure,PG-13,322.0,329.0,185394,5.5
175,62644,750.0,49000.0,0,0.0,2011.0,100.0,Animation,PG,156.0,79.0,32399,5.9
176,5811,255.0,3000.0,0,0.0,2008.0,135.0,Action,PG-13,354.0,643.0,326286,6.8
178,1950,14000.0,535.0,27000,0.0,2016.0,117.0,Adventure,PG,252.0,106.0,12572,6.8
179,57108,0.0,29000.0,190000,0.0,2015.0,156.0,Adventure,R,556.0,1188.0,406020,8.1
180,17416,13.0,16000.0,13000,0.0,2013.0,96.0,Adventure,PG,166.0,90.0,62424,6.5
181,43291,563.0,40000.0,26000,0.0,2011.0,107.0,Adventure,PG,362.0,337.0,183208,7.2
182,19963,35.0,19000.0,11000,0.0,2014.0,92.0,Adventure,PG,153.0,118.0,60230,6.7
183,17369,521.0,13000.0,0,0.0,2007.0,115.0,Action,PG-13,329.0,820.0,491077,8.1
184,12754,54.0,11000.0,6000,0.0,2008.0,92.0,Action,PG,266.0,360.0,307029,7.6
185,5730,235.0,2000.0,61000,6.0,2015.0,117.0,Action,PG-13,517.0,549.0,313866,7.4
186,49355,508.0,34000.0,82000,1.0,2013.0,146.0,Adventure,PG-13,502.0,706.0,498397,7.6
187,59177,386.0,21000.0,65000,3.0,2012.0,115.0,Adventure,PG-13,322.0,329.0,185394,5.5
188,17883,12.0,17000.0,26000,0.0,2015.0,94.0,Adventure,PG,165.0,214.0,70121,6.7
189,12758,14000.0,10000.0,0,0.0,2005.0,116.0,Adventure,PG-13,401.0,2741.0,334345,6.5
190,12954,0.0,10000.0,0,1.0,2003.0,147.0,Action,R,94.0,511.0,178126,6.6
191,5046,50.0,4000.0,16000,0.0,2011.0,90.0,Action,PG,246.0,137.0,114287,6.7
192,12406,176.0,11000.0,23000,1.0,2010.0,101.0,Action,PG-13,330.0,514.0,245621,6.4
193,32355,0.0,12000.0,71000,2.0,2014.0,138.0,Action,PG-13,434.0,1240.0,200022,5.8
194,4631,14000.0,2000.0,44000,1.0,2011.0,107.0,Action,PG,440.0,447.0,177383,7.4
195,33284,0.0,11000.0,11000,3.0,2004.0,142.0,Adventure,PG,274.0,1504.0,382255,7.8
196,921,1000.0,309.0,0,0.0,2008.0,165.0,Adventure,PG-13,245.0,450.0,102338,6.6
197,14168,0.0,10000.0,37000,0.0,2013.0,100.0,Action,PG-13,349.0,744.0,158720,4.9
198,2945,0.0,1000.0,0,1.0,2000.0,82.0,Adventure,PG,145.0,241.0,38438,6.5
200,53587,189.0,49000.0,11000,7.0,2014.0,98.0,Adventure,PG,154.0,126.0,67223,6.2
201,46120,96.0,24000.0,13000,3.0,2010.0,95.0,Action,PG,233.0,187.0,172754,7.3
202,13191,0.0,11000.0,16000,4.0,2001.0,159.0,Adventure,PG,258.0,1571.0,444683,7.5
203,31549,124.0,16000.0,20000,2.0,2013.0,96.0,Action,PG-13,208.0,210.0,91640,5.6
205,48184,563.0,40000.0,10000,3.0,2003.0,143.0,Action,PG-13,271.0,2113.0,809474,8.1
207,81385,508.0,34000.0,52000,1.0,2014.0,123.0,Adventure,PG-13,403.0,591.0,305008,6.7
208,16008,2000.0,15000.0,0,2.0,2006.0,174.0,Mystery,PG-13,294.0,1966.0,314253,6.6
209,1031,107.0,688.0,0,0.0,2014.0,101.0,Adventure,G,159.0,99.0,58498,6.4
210,20952,0.0,20000.0,0,4.0,2003.0,134.0,Action,PG-13,289.0,1055.0,405973,7.5
211,55345,681.0,23000.0,54000,3.0,2011.0,132.0,Action,PG-13,342.0,366.0,284792,7.3
212,22403,0.0,21000.0,39000,2.0,2011.0,129.0,Action,PG-13,382.0,412.0,338635,7.5
213,18003,255.0,14000.0,15000,0.0,2010.0,106.0,Action,PG-13,344.0,637.0,229679,5.8
214,1441,719.0,605.0,0,0.0,1990.0,113.0,Action,R,196.0,391.0,240241,7.5
215,1815,323.0,845.0,0,1.0,1999.0,102.0,Action,R,85.0,546.0,101411,6.6
216,12175,209.0,10000.0,31000,0.0,2012.0,135.0,Action,PG-13,436.0,504.0,229823,6.7
217,2699,541.0,920.0,0,3.0,1997.0,125.0,Action,PG-13,183.0,1018.0,189855,3.7
218,4146,2000.0,1000.0,0,0.0,2000.0,110.0,Comedy,PG,175.0,482.0,141414,6.0
219,20553,776.0,15000.0,19000,0.0,2004.0,124.0,Action,PG-13,239.0,1159.0,333248,6.4
220,11930,610.0,10000.0,0,0.0,2000.0,123.0,Action,PG-13,237.0,1426.0,242188,6.1
221,2684,249.0,784.0,0,0.0,2000.0,130.0,Action,PG-13,231.0,779.0,133076,6.4
222,15302,167.0,11000.0,0,3.0,2007.0,92.0,Action,PG,262.0,436.0,213275,5.6
223,2121,0.0,774.0,122000,0.0,2012.0,127.0,Adventure,PG,552.0,755.0,440084,8.0
224,14017,160.0,12000.0,0,1.0,2007.0,123.0,Action,PG-13,276.0,681.0,182661,5.2
225,13752,521.0,13000.0,31000,0.0,2016.0,123.0,Action,PG-13,267.0,297.0,40123,7.1
226,4046,368.0,2000.0,0,0.0,2003.0,107.0,Action,PG-13,102.0,554.0,100821,4.8
227,24098,0.0,13000.0,97000,0.0,2012.0,124.0,Adventure,R,775.0,2326.0,456260,7.0
228,2682,50.0,886.0,459,0.0,2002.0,77.0,Adventure,PG,71.0,69.0,36471,5.4
229,17689,662.0,13000.0,61000,0.0,2013.0,109.0,Action,R,476.0,814.0,338087,6.6
230,17159,123.0,14000.0,0,0.0,2004.0,134.0,Action,PG-13,207.0,666.0,183909,6.7
231,14161,294.0,10000.0,60000,0.0,2014.0,117.0,Action,PG-13,492.0,630.0,182899,6.2
232,902,0.0,690.0,0,0.0,2008.0,135.0,Action,PG,284.0,414.0,57873,6.1
233,993,274.0,273.0,0,4.0,2010.0,121.0,Comedy,PG-13,168.0,196.0,35066,5.3
234,12731,446.0,10000.0,11000,0.0,2010.0,117.0,Action,PG-13,283.0,348.0,148280,6.3
235,22004,364.0,11000.0,71000,0.0,2013.0,124.0,Action,PG-13,539.0,892.0,387436,7.0
236,44042,0.0,20000.0,10000,4.0,2005.0,140.0,Action,PG-13,359.0,3286.0,520104,7.6
237,42990,0.0,20000.0,0,3.0,2002.0,142.0,Action,PG,284.0,3516.0,464310,6.7
238,15013,0.0,12000.0,0,0.0,2001.0,92.0,Adventure,G,250.0,593.0,585659,8.1
239,23755,446.0,20000.0,68000,1.0,2013.0,138.0,Action,PG-13,440.0,533.0,328067,6.7
240,37723,0.0,20000.0,13000,1.0,1999.0,136.0,Action,PG,320.0,3597.0,534658,6.5
241,43286,16.0,16000.0,28000,3.0,2013.0,98.0,Adventure,PG,257.0,195.0,150618,7.3
243,15046,610.0,12000.0,0,0.0,2002.0,153.0,Action,R,152.0,454.0,55994,6.0
244,46719,19.0,26000.0,16000,2.0,2016.0,120.0,Action,PG-13,231.0,134.0,37750,6.1
245,2690,473.0,833.0,62000,0.0,2014.0,101.0,Action,PG-13,348.0,491.0,167085,5.9
246,87,0.0,39.0,147000,0.0,2013.0,91.0,Adventure,PG-13,738.0,1885.0,582917,7.8
247,1569,79.0,650.0,0,1.0,1997.0,108.0,Action,PG-13,93.0,277.0,62271,5.8
249,1261,128.0,596.0,41000,3.0,2015.0,100.0,Action,PG-13,369.0,695.0,110486,4.3
250,55486,189.0,49000.0,3000,2.0,2006.0,108.0,Action,PG,179.0,444.0,234480,6.4
251,16718,62.0,12000.0,52000,0.0,2015.0,114.0,Action,PG-13,358.0,499.0,147497,6.1
252,2958,55.0,811.0,0,3.0,1997.0,119.0,Action,PG-13,160.0,328.0,149680,6.5
253,19454,776.0,13000.0,4000,1.0,2000.0,142.0,Action,R,192.0,1144.0,207613,7.1
254,19359,0.0,11000.0,0,0.0,2004.0,125.0,Crime,PG-13,198.0,627.0,284852,6.4
255,22722,218.0,11000.0,0,2.0,2005.0,126.0,Action,PG-13,233.0,798.0,348861,6.5
256,22622,124.0,14000.0,27000,0.0,2015.0,119.0,Adventure,PG-13,263.0,258.0,154621,6.3
257,34582,17000.0,29000.0,0,0.0,2004.0,170.0,Biography,PG-13,267.0,799.0,264318,7.5
258,1173,11.0,480.0,0,1.0,2010.0,85.0,Adventure,PG,184.0,121.0,53160,4.9
259,13391,1000.0,11000.0,14000,0.0,2011.0,119.0,Action,PG-13,447.0,443.0,136019,5.8
261,10583,263.0,6000.0,71000,0.0,2014.0,102.0,Action,R,366.0,523.0,225273,6.2
262,692,67.0,383.0,31000,3.0,2011.0,103.0,Adventure,PG,172.0,153.0,66593,5.5
263,13607,6.0,12000.0,304,0.0,2004.0,76.0,Animation,PG,104.0,88.0,13581,5.4
264,12452,124.0,6000.0,12000,3.0,2016.0,120.0,Action,PG-13,181.0,144.0,44296,5.8
265,22254,189.0,20000.0,36000,1.0,2011.0,127.0,Action,PG-13,327.0,426.0,254841,7.1
266,914,67.0,681.0,0,3.0,2013.0,105.0,Adventure,PG,125.0,59.0,27257,5.4
267,2027,101.0,673.0,894,0.0,1997.0,121.0,Action,PG-13,79.0,248.0,60573,3.7
268,12908,151.0,11000.0,123000,4.0,2013.0,114.0,Action,PG-13,326.0,554.0,184561,6.7
269,13961,235.0,13000.0,0,1.0,2007.0,129.0,Action,PG-13,354.0,782.0,336235,7.2
270,22342,0.0,16000.0,21000,2.0,2001.0,171.0,Action,PG-13,297.0,5060.0,1238746,8.8
271,3175,153.0,1000.0,0,0.0,2004.0,120.0,Action,PG,188.0,191.0,68720,5.8
272,14196,0.0,10000.0,0,1.0,2001.0,165.0,Biography,R,174.0,386.0,79186,6.8
